Key,English
[35bd00]Green[-]
[f21b10]Red[-]
[fff700]Yellow[-]


BUFF_________________________XML,BUFF_________________________XML
buffSetRadTyrName, "セット効果：ルーン・ガンスリンガー"
buffSetRadTyrDesc, "セット効果：ルーン・ガンスリンガー(RadTyr)\nリボルバーでADS時、命中精度と引き換えに連射速度上昇"
buffSetThursAnsuzName, "セット効果：トールハンマー"
buffSetThursAnsuzDesc, "セット効果：トールハンマー(ThursAnsuz)\nスレッジハンマーのパワーアタックを大幅に強化。感電と吹き飛ばし効果を付与\nただし耐久を多く消耗する"
buffEihwazHelmetIncreaseTurretsName, "ルーン効果：タレット制御数+1、タレット稼働距離+2m"
buffEihwazHelmetIncreaseTurretsDesc, "ルーン効果：Eihwazルーンの力により、あなたの意識は拡張され、より多くのタレットを同時に制御できるようになるだろう。"

Item_Modifiers_________________________________XML,Item_Modifiers_________________________________XML
modGwiennRuneFeoh,"フェオ・ルーン"
modGwiennRuneUr,"ウル・ルーン"
modGwiennRuneThurs,"スリサズ・ルーン"
modGwiennRuneAnsuz,"オス・ルーン"
modGwiennRuneRad,"ラド・ルーン"
modGwiennRuneTyr, "テュール・ルーン"
modGwiennRuneEihwaz, "エイワズ・ルーン"
modGwiennRuneKenaz, "ケイナズ・ルーン"

ITEM_________________________XML,ITEM_________________________XML
gwienn_blankRune, "空白のルーン"
gwienn_blankRuneDesc, "汝の運命をルーンに刻め。"
RuneFeohDesc, "近接武器: 経験値上昇\n銃器: ドロップバッグの出現率がわずかに上昇\nツール: 採集量が上昇する\n防具: 略奪品ステージが上昇する\n車両: 燃費が大幅に向上する\n[ffa700] - 富。近親者の不和の根源なり。その森に狼は住んでいる -[-]"
RuneUrDesc, "武器・ツール: 命中部位によってデバフを付与する。頭部はスタン、胴体は流血、腕部は攻撃力低下、脚部は鈍足効果\n 防具: 攻撃者を地面に転ばせる可能性\n車両: まだ明らかになっていない\n[ffa700]- 鉱滓。劣った鉄なり。トナカイは厳しい吹雪を駆ける -[-]"
RuneThursDesc, "武器: 銃弾またはパワーアタックが一定確率で敵をダウンさせる\nツール: 対象外の素材のブロックダメージ上昇\n防具: 攻撃者にダメージを反射し、微量の生命力を回復する\n車両: まだ明らかになっていない\n[ffa700]- 巨人は女らを病気にする。悪運に喜びはなし -[-]"
RuneAnsuzDesc, "武器・ツール: ダメージが上昇するが、ばらつきが生じるようになる\n防具: 一定確率で、ダメージを完全に無効化する\n車両: まだ明らかになっていない\n[ffa700]- オーディンは古きときの父。そしてアスガルドの首長。そしてヴァルハラの頭領 -[-]"
RuneRadDesc, "武器: 射撃、リロード、攻撃速度上昇\nツール: 速度上昇\n防具: 移動速度上昇(効果は重複しない)\n車両: 速度が大幅に上昇\n[ffa700]- 騎馬。馬にとって最も疎ましきもの。レギンは名剣を鍛えた -[-]"
RuneTyrDesc, "武器・ツール：アーマーに弱くなるが、ダメージが上昇する\nアーマー：敵から怪我を負わされる確率が少し低下・炎と電撃のダメージ低下\n車両：まだ明らかになっていない\n[ffa700]- 隻腕の神。狼に喰われた残り。神殿の王 -[-]"
RuneEihwazDesc, "武器：ヘッドショットダメージが上がるが、その他の部位へのダメージ低下\nツール：ブロックダメージが低下し、エンティティダメージが増加\nヘルメット：制御可能なロボットの数+1\n車両：まだ明らかになっていない\n[ffa700]- イチイ。緊張した弓。そしてもろき鉄 -[-]"
RuneKenazDesc, "武器・ツール：奇襲ダメージ上昇\n防具：隠密性とジャンプ力が大幅に上昇(効果は重複しない)\n車両：まだ明らかになっていない\n[ffa700]- 松明。高貴なるものが館で寛ぐとき、そこで常に燃えている -[-]"
